timestamp,dataset,column,issue,rule,action,rows_affected,rows_before,rows_after,rationale,status
2026-08-19T13:48:20,order_items,freight_value,Zero freight value,Zero freight is not inherently invalid,RETAIN,383,112650,112650,Phase 4 identified zero freight values but no negative freight values. Zero can represent a legitimate freight charge.,APPLIED
2026-08-19T13:48:20,payments,__DATASET__,Generic preprocessing,"Normalize data types, timestamps, numerics, text, categories and NULL representations",PREPROCESS,103886,103886,103886,Apply reusable preprocessing without deleting records or imputing business values.,APPLIED
2026-08-19T13:48:20,payments,payment_installments,Zero payment installments,payment_installments must be greater than zero,SET_INVALID_VALUE_TO_NULL,2,103886,103886,"Zero installments violates the business rule. The source does not provide enough information to infer the correct installment count, so the invalid value is converted to NULL rather than fabricated.",APPLIED
2026-08-19T13:48:20,payments,payment_value,Zero payment value,Zero payment value is not prohibited by the Phase 4 validity rules,RETAIN,9,103886,103886,Phase 4 only identified negative payment values as invalid. Zero payment values are therefore preserved.,APPLIED
2026-08-19T13:48:21,reviews,__DATASET__,Generic preprocessing,"Normalize data types, timestamps, numerics, text, categories and NULL representations",PREPROCESS,99224,99224,99224,Apply reusable preprocessing without deleting records or imputing business values.,APPLIED
2026-08-19T13:48:21,reviews,review_id,Duplicate review_id groups,review_id is not a unique source identifier,RETAIN,789,99224,99224,Phase 2 documentation explicitly identifies review_id as non-unique. Removing records by review_id would incorrectly discard legitimate review records.,APPLIED
2026-08-19T13:48:22,reviews,__FULL_ROW__,Exact full-row duplicates,Remove only exact duplicate review records,DEDUPLICATE,0,99224,99224,Exact duplicate rows contain no additional information. This is distinct from duplicate review_id values.,APPLIED
2026-08-19T13:48:22,reviews,review_comment_title,Missing review text,Review comment fields may legitimately be NULL,RETAIN_NULL,87658,99224,99224,Missing review text does not invalidate the review score or order relationship. No artificial text is created.,APPLIED
2026-08-19T13:48:22,reviews,review_comment_message,Missing review text,Review comment fields may legitimately be NULL,RETAIN_NULL,58256,99224,99224,Missing review text does not invalidate the review score or order relationship. No artificial text is created.,APPLIED
2026-08-19T13:48:22,products,__DATASET__,Generic preprocessing,"Normalize data types, timestamps, numerics, text, categories and NULL representations",PREPROCESS,32951,32951,32951,Apply reusable preprocessing without deleting records or imputing business values.,APPLIED
2026-08-19T13:48:22,products,product_category_name,Missing product category,Do not fabricate a category when the source category is unavailable,RETAIN_NULL,610,32951,32951,There is no reliable source field from which the missing category can be inferred. NULL is retained to preserve source truth.,APPLIED
2026-08-19T13:48:22,products,product_name_lenght,Missing product attribute,Retain missing attribute when no reliable source value exists,RETAIN_NULL,610,32951,32951,No supported source-based value is available for safe imputation. The product record remains valid.,APPLIED
2026-08-19T13:48:22,products,product_description_lenght,Missing product attribute,Retain missing attribute when no reliable source value exists,RETAIN_NULL,610,32951,32951,No supported source-based value is available for safe imputation. The product record remains valid.,APPLIED
2026-08-19T13:48:22,products,product_photos_qty,Missing product attribute,Retain missing attribute when no reliable source value exists,RETAIN_NULL,610,32951,32951,No supported source-based value is available for safe imputation. The product record remains valid.,APPLIED
2026-08-19T13:48:22,products,product_weight_g,Missing product attribute,Retain missing attribute when no reliable source value exists,RETAIN_NULL,2,32951,32951,No supported source-based value is available for safe imputation. The product record remains valid.,APPLIED
2026-08-19T13:48:22,products,product_length_cm,Missing product attribute,Retain missing attribute when no reliable source value exists,RETAIN_NULL,2,32951,32951,No supported source-based value is available for safe imputation. The product record remains valid.,APPLIED
2026-08-19T13:48:22,products,product_height_cm,Missing product attribute,Retain missing attribute when no reliable source value exists,RETAIN_NULL,2,32951,32951,No supported source-based value is available for safe imputation. The product record remains valid.,APPLIED
2026-08-19T13:48:22,products,product_width_cm,Missing product attribute,Retain missing attribute when no reliable source value exists,RETAIN_NULL,2,32951,32951,No supported source-based value is available for safe imputation. The product record remains valid.,APPLIED
2026-08-19T13:48:22,products,product_weight_g,Zero product weight,Do not automatically classify zero as invalid without source evidence,RETAIN,4,32951,32951,Phase 4 identified zero values but did not classify them as negative or otherwise invalid. They are retained.,APPLIED
2026-08-19T13:48:22,sellers,__DATASET__,Generic preprocessing,"Normalize data types, timestamps, numerics, text, categories and NULL representations",PREPROCESS,3095,3095,3095,Apply reusable preprocessing without deleting records or imputing business values.,APPLIED
2026-08-19T13:48:22,sellers,seller_zip_code_prefix,ZIP prefix without geolocation match,Seller records must not be removed solely because geolocation enrichment is unavailable,RETAIN,7,3095,3095,Geolocation is an enrichment/reference source. An unmatched ZIP prefix does not invalidate the seller.,APPLIED
2026-08-19T13:48:22,category_translation,__DATASET__,Generic preprocessing,"Normalize data types, timestamps, numerics, text, categories and NULL representations",PREPROCESS,71,71,71,Apply reusable preprocessing without deleting records or imputing business values.,APPLIED
2026-08-19T13:48:22,category_translation,product_category_name_english,Missing translation coverage,Do not fabricate English translations for categories absent from translation source,RETAIN_SOURCE_LIMITATION,2,71,71,The translation source contains 71 validated mappings. Missing mappings should remain unresolved rather than being assigned an invented English category.,DOCUMENTED
